#,Fecha del siniestro,Entidad Federativa,Municipio,Grupo de siniestro,Tipo de siniestro
8667,04-03-2023,México,Lerma,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8668,04-03-2023,Nuevo León,Monterrey,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
8669,04-03-2023,Coahuila de Zaragoza,Saltillo,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8670,05-03-2023,Coahuila de Zaragoza,Ramos Arizpe,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8671,07-03-2023,Querétaro,San Juan Del Río,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8672,09-03-2023,México,Toluca,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8673,10-03-2023,Veracruz de Ignacio de la Llave,Veracruz,Grupo I. Cruces a Nivel,Impacto a Tren
8674,12-03-2023,Querétaro,El Marqués,"Grupo III. Muerte, lesión y otros",Persona Arrollada
8675,12-03-2023,Michoacán de Ocampo,Morelia,"Grupo III. Muerte, lesión y otros",Persona Arrollada
8676,14-03-2023,Querétaro,Querétaro,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8677,16-03-2023,México,Toluca,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
8678,17-03-2023,Nuevo León,General Escobedo,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8679,21-03-2023,Querétaro,San Juan Del Río,"Grupo III. Muerte, lesión y otros",Persona Arrollada
8680,22-03-2023,Guanajuato,Celaya,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8681,22-03-2023,Nuevo León,Monterrey,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8682,24-03-2023,Nuevo León,Villaldama,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8683,24-03-2023,Querétaro,El Marqués,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8684,25-03-2023,México,Toluca,"Grupo III. Muerte, lesión y otros",Persona Arrollada
8685,25-03-2023,Veracruz de Ignacio de la Llave,Puente Nacional,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8686,26-03-2023,Veracruz de Ignacio de la Llave,Emiliano Zapata,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8687,27-03-2023,Nuevo León,Monterrey,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
